2020. 3. 관광통계,,,,,,,,,,,,
,,,,,,,,,"(단위: 명, %)",,,
,핀란드,144 ,"1,082 ",-86.7 ,0.2 ,"1,809 ","2,874 ",-37.1 ,0.1 ,,,
,벨기에,164 ,"1,400 ",-88.3 ,0.2 ,"1,433 ","2,763 ",-48.1 ,0.1 ,,,
,크로아티아,84 ,489 ,-82.8 ,0.1 ,837 ,"1,427 ",-41.3 ,0.0 ,,,
,그리스,199 ,803 ,-75.2 ,0.2 ,"1,485 ","2,185 ",-32.0 ,0.1 ,,,
,불가리아,80 ,455 ,-82.4 ,0.1 ,649 ,"1,212 ",-46.5 ,0.0 ,,,
,덴마크,114 ,"1,001 ",-88.6 ,0.1 ,"1,419 ","2,446 ",-42.0 ,0.1 ,,,
,아일랜드,106 ,724 ,-85.4 ,0.1 ,"1,286 ","1,932 ",-33.4 ,0.1 ,,,
,구주 기타,538 ,"3,300 ",-83.7 ,0.6 ,"6,189 ","8,939 ",-30.8 ,0.3 ,,,
,구주소계,"13,086","87,805",-85.1 ,15.7 ,"141,512 ","219,392 ",-35.5 ,6.9 ,,,
대양주,오스트레일리아,760 ,"12,263 ",-93.8 ,0.9 ,"21,656 ","34,879 ",-37.9 ,1.1 ,,,
,뉴질랜드,275 ,"2,451 ",-88.8 ,0.3 ,"5,740 ","7,039 ",-18.5 ,0.3 ,,,
,대양주 기타,50 ,430 ,-88.4 ,0.1 ,336 ,"1,472 ",-77.2 ,0.0 ,,,
,대양주소계,"1,085","15,144",-92.8 ,1.3 ,"27,732 ","43,390 ",-36.1 ,1.4 ,,,
아프리카,남아프리카공화국,237 ,945 ,-74.9 ,0.3 ,"2,513 ","3,136 ",-19.9 ,0.1 ,,,
,아프리카 기타,946 ,"3,798 ",-75.1 ,1.1 ,"7,028 ","9,964 ",-29.5 ,0.3 ,,,
,아프리카소계,"1,183","4,743",-75.1 ,1.4 ,"9,541 ","13,100 ",-27.2 ,0.5 ,,,
기타,국적미상,11,57,-80.7 ,0.0 ,112 ,150 ,-25.3 ,0.0 ,,,
교포,교포,"1,615","19,225",-91.6 ,1.9 ,"18,016 ","49,210 ",-63.4 ,0.9 ,,,
"*GCC 6개국(UAE, 사우디아라비아, 쿠웨이트, 오만, 카타르, 바레인)",,,,,,,,,,,,
